AU,acc,acc_std,f1
AU6,40.7,0.2758018612458331,0.356118767731259
AU12,40.24,0.3397057550292608,0.3635695768540345
AU10,39.14666666666666,0.5974575763646782,0.36325999890039146
AU7,37.61666666666667,0.09104333522498381,0.3357087373511674
AU25,37.46333333333333,0.319617827343149,0.3366617891443316
AU4,34.99,0.1964688270438838,0.3148618709861398
AU15,33.790000000000006,0.290631496343164,0.2981983272845445
AU26,33.053333333333335,0.5184806864505387,0.28321635142621077
AU16,33.02333333333333,0.5076963221804517,0.28184625055348617
AU5,32.99,0.1964688270438838,0.27156386727106113
AU9,32.62,0.26166135875720553,0.25532320995827074
AU38,32.56666666666666,0.24850665092821161,0.26259061546539436
AUR10,32.11666666666667,0.2604269997949944,0.26435100179780474
AU20,31.923333333333332,0.306521704868603,0.2594544983395595
AU2,31.61666666666667,0.2984776187403168,0.2548420143417989
AUL1,31.553333333333335,0.25037749277618637,0.2602514519936738
AUL12,31.12333333333333,0.4391152721350305,0.23769933688737177
AU24,30.926666666666662,0.2940899333348386,0.2421360212173728
AU22,30.856666666666673,0.3445125380721132,0.2542770686899913
AU17,30.42666666666667,0.2444494948973194,0.2433364640440027
AU27,30.383333333333333,0.1906713286143343,0.23433362116117631
AUR4,30.2,0.0697614984548537,0.23398637926160318
AUR12,30.11,0.3398038649966581,0.21881569032168127
AUR2,30.106666666666666,0.3332999983331685,0.22909469616825504
AU1,29.856666666666666,0.3912657522565551,0.23349327974718606
AU19,29.733333333333334,0.09030811456095951,0.23199706623968566
AU11,29.606666666666666,0.4938510796676356,0.23403200852439363
AU14,29.363333333333337,0.4028509512076268,0.24382191515103369
AUL14,28.973333333333333,0.11897712198383052,0.22615759743084674
AU18,28.560000000000002,0.25806975801127985,0.20972379648625003
AUR14,28.26666666666667,0.0980929264637482,0.20199446246742866
AUR6,28.240000000000006,0.22015146301277635,0.20193912599806949
AUL6,28.19333333333333,0.1265789169736498,0.20367286982450505
AU23,28.17,0.17907168024751058,0.21152335335287278
AUL10,27.950000000000003,0.2940521495698791,0.2006935893471944
AUL4,27.666666666666668,0.31436002007606384,0.1925730301964694
AUR1,26.87333333333333,0.09533566430716817,0.16916766061749247
AU39,26.80666666666667,0.20038851153585405,0.1762255660055445
AUL2,26.753333333333334,0.3299831645537225,0.19891187269791652
AU13,26.700000000000003,0.13928388277184217,0.16870373802420793
AU32,26.35,0.2727636339397168,0.20932990407759244
