AU,acc,acc_std,f1
AU6,43.383772545032976,0.08582812394633779,0.3468337511997306
AU12,43.1291731129544,0.3659770743821564,0.35164140829697327
AU10,41.80589915182129,0.6867149983795647,0.3389821039065768
AU7,40.71937561974634,0.39460310578136126,0.3265695074559582
AU25,39.51445449823578,0.28216643045745543,0.308086879248941
AU15,36.60618266503345,0.061878802478992606,0.2930007778371546
AU9,35.79574156149689,0.12358200658300438,0.26792766240281124
AU38,35.508844723395235,0.2572184382156018,0.26196572530154966
AUL1,34.81316798740339,0.14934278491764919,0.26573068267722905
AU16,34.7808971998036,0.2263819538859576,0.2667751459663153
AU4,34.156935896972975,0.23188647003196008,0.28343825061862854
AU26,33.03447556459604,0.5643212054967726,0.25107869103551345
AU20,32.61851255016222,0.2664569292178187,0.23940787076187345
AU24,32.475070882160786,0.47719100757056176,0.2361968662196494
AU5,32.37467274770333,0.15113593674987463,0.23253382481260546
AUR4,31.922833499524877,0.11596798744169978,0.22467303416399376
AUL14,31.897708022592177,0.3639351607073729,0.23050679122825488
AU14,31.478161551145796,0.1277037620375891,0.23389352940304461
AU22,31.144658554297106,0.14945440827221357,0.2255373536713481
AUR14,30.78603470980672,0.5126365918832073,0.2106679825163278
AUL6,30.642620431777058,0.17336816425812016,0.21163661425658695
AUL10,30.49917529180736,0.23717995097349473,0.2106425720049958
AU17,30.362913654155545,0.27988480451852316,0.2525234977206157
AU11,30.26967780443221,0.19020923456242445,0.2131088849280994
AUR2,30.162086137526362,0.3675189613357972,0.20266674854914188
AU27,30.136980720854684,0.28557898208962457,0.20846007683167037
AU19,30.133410765940887,0.247692136771924,0.21265044034129624
AU2,30.115462618938054,0.4016240253479783,0.26896502975460146
AU18,30.10114036411534,0.34516858490186275,0.20100964412416544
AUR12,30.058100302539597,0.2370297878100227,0.19929789527869457
AU32,30.015056768995603,0.2453958942148548,0.21237131913669702
AUR10,29.76045077875477,0.055815859382361215,0.21023689585499897
AU1,29.699478386920465,0.4988226766463806,0.21322326038853742
AUL4,29.67441193344808,0.5082640646507371,0.19548964003638614
AU39,29.10420480045132,0.14390221648263754,0.2065116297081729
AUR6,29.071934398625782,0.17331811777836392,0.1871964140690363
AUL2,28.849615012729007,0.3591837483223534,0.20673040119622135
AUR1,28.627255892084435,0.4051968560096975,0.17066261799191199
AU23,28.225637893154108,0.2893365547218486,0.20226859072060135
AUL12,28.078601194912594,0.15231044417691988,0.18417938493714206
AU13,26.81272735605451,0.20225389270666763,0.15257565685419328
